Station,Station Description,Date,Source,Value,Sample Type,Depth
CB5.4,(Tidal) Central Chesapeake Bay (Deep Main Channel),2010-07-22T00:00:00,ODU/BEL,6.08,D,32.92
CB5.4,(Tidal) Central Chesapeake Bay (Deep Main Channel),2010-07-22T00:00:00,ODU/BEL,93.92,D,32.92
CB5.4,(Tidal) Central Chesapeake Bay (Deep Main Channel),2010-07-22T00:00:00,ODU/BEL,5.697,D,32.92
CB5.4,(Tidal) Central Chesapeake Bay (Deep Main Channel),2011-07-26T00:00:00,ODU/BEL,4.302,D,33.0
CB5.4,(Tidal) Central Chesapeake Bay (Deep Main Channel),2011-07-26T00:00:00,ODU/BEL,95.698,D,33.0
CB5.4,(Tidal) Central Chesapeake Bay (Deep Main Channel),2011-07-26T00:00:00,ODU/BEL,5.8,D,33.0
CB5.4,(Tidal) Central Chesapeake Bay (Deep Main Channel),2012-07-16T00:00:00,ODU/BEL,3.49908,D,32.0
CB5.4,(Tidal) Central Chesapeake Bay (Deep Main Channel),2012-07-16T00:00:00,ODU/BEL,96.50092,D,32.0
CB5.4,(Tidal) Central Chesapeake Bay (Deep Main Channel),2012-07-16T00:00:00,ODU/BEL,4.81015,D,32.0
CB5.4,(Tidal) Central Chesapeake Bay (Deep Main Channel),2013-07-22T00:00:00,ODU/BEL,2.57642,D,32.0
CB5.4,(Tidal) Central Chesapeake Bay (Deep Main Channel),2013-07-22T00:00:00,ODU/BEL,97.42358,D,32.0
CB5.4,(Tidal) Central Chesapeake Bay (Deep Main Channel),2013-07-22T00:00:00,ODU/BEL,6.0295,D,32.0
